product_id,product_name,product_features,discount(%),price(INR),rating
1,HP Mobile Model 1,"50MP Camera, 5000mAh Battery, 5G",11,45938,3.4
2,Xiaomi Mobile Model 2,"108MP Camera, 5000mAh Battery, 5G",12,142560,3.9
3,Acer Mobile Model 3,"108MP Camera, 4000mAh Battery, 5G",23,128167,4.9
4,HP Mobile Model 4,"108MP Camera, 4000mAh Battery, 5G",42,66908,3.3
5,HP Laptop Model 5,"i7, 32GB RAM, 512GB SSD",22,6474,4.9
6,Dell Smartwatch Model 6,"SpO2, LCD Display",49,138621,3.6
7,Asus Smartwatch Model 7,"SpO2, AMOLED Display",7,121803,3.8
8,Dell Laptop Model 8,"i7, 8GB RAM, 1TB SSD",23,46009,3.3
9,Lenovo Laptop Model 9,"Ryzen 7, 8GB RAM, 256GB SSD",9,128700,4.6
10,Samsung Laptop Model 10,"i5, 8GB RAM, 512GB SSD",33,36991,3.7
11,Acer Smartwatch Model 11,"GPS, LCD Display",33,149212,3.2
12,Samsung Smartwatch Model 12,"SpO2, LCD Display",42,137194,4.7
13,HP Laptop Model 13,"i7, 8GB RAM, 256GB SSD",10,68126,3.3
14,Acer Laptop Model 14,"Ryzen 5, 8GB RAM, 256GB SSD",6,134295,3.2
15,Xiaomi Laptop Model 15,"i5, 32GB RAM, 512GB SSD",23,138350,3.5
16,Dell Laptop Model 16,"i5, 16GB RAM, 256GB SSD",23,22714,4.7
17,Lenovo Laptop Model 17,"Ryzen 7, 32GB RAM, 512GB SSD",49,41254,3.2
18,Samsung Laptop Model 18,"i7, 16GB RAM, 1TB SSD",28,31811,4.1
19,OnePlus Laptop Model 19,"i7, 8GB RAM, 256GB SSD",31,113747,4.3
20,Samsung Laptop Model 20,"i5, 16GB RAM, 256GB SSD",23,63279,4.3
21,Asus Mobile Model 21,"50MP Camera, 4000mAh Battery, 5G",24,34990,4.6
22,OnePlus Laptop Model 22,"i7, 8GB RAM, 1TB SSD",34,6428,4.0
23,OnePlus Laptop Model 23,"i5, 16GB RAM, 1TB SSD",21,123733,4.4
24,Asus Smartwatch Model 24,"Heart Rate, LCD Display",27,49087,3.7
25,HP Mobile Model 25,"108MP Camera, 6000mAh Battery, 5G",27,54766,4.7
26,Samsung Laptop Model 26,"i5, 16GB RAM, 1TB SSD",10,93753,3.7
27,Samsung Mobile Model 27,"108MP Camera, 5000mAh Battery, 5G",31,90729,4.5
28,HP Mobile Model 28,"108MP Camera, 5000mAh Battery, 5G",35,32987,3.0
29,HP Smartwatch Model 29,"SpO2, AMOLED Display",39,91858,3.0
30,Sony Laptop Model 30,"Ryzen 5, 16GB RAM, 256GB SSD",18,32689,4.7
31,Lenovo Smartwatch Model 31,"SpO2, LCD Display",32,147978,3.8
32,OnePlus Smartwatch Model 32,"SpO2, AMOLED Display",39,94176,4.0
33,Samsung Laptop Model 33,"i5, 16GB RAM, 256GB SSD",9,102320,5.0
34,Xiaomi Smartwatch Model 34,"SpO2, LCD Display",19,146664,4.8
35,Asus Smartwatch Model 35,"GPS, LCD Display",13,47334,3.2
36,Samsung Mobile Model 36,"108MP Camera, 4000mAh Battery, 5G",24,141249,3.1
37,Acer Smartwatch Model 37,"SpO2, AMOLED Display",13,57188,3.5
38,Xiaomi Laptop Model 38,"Ryzen 5, 32GB RAM, 1TB SSD",48,128663,3.2
39,Dell Laptop Model 39,"i7, 8GB RAM, 1TB SSD",40,106440,4.7
40,Lenovo Mobile Model 40,"50MP Camera, 5000mAh Battery, 5G",14,68770,5.0
41,Samsung Smartwatch Model 41,"SpO2, LCD Display",9,64057,4.4
42,Xiaomi Smartwatch Model 42,"SpO2, AMOLED Display",14,25922,4.8
43,HP Laptop Model 43,"i5, 16GB RAM, 256GB SSD",7,72865,3.1
44,Sony Smartwatch Model 44,"GPS, LCD Display",18,143841,4.5
45,Dell Mobile Model 45,"108MP Camera, 5000mAh Battery, 5G",15,37831,3.1
46,Xiaomi Smartwatch Model 46,"SpO2, AMOLED Display",28,114772,3.3
47,Sony Smartwatch Model 47,"SpO2, AMOLED Display",47,126957,4.7
48,OnePlus Mobile Model 48,"50MP Camera, 4000mAh Battery, 5G",40,35580,4.7
49,Apple Mobile Model 49,"108MP Camera, 4000mAh Battery, 5G",5,142486,3.4
50,Dell Smartwatch Model 50,"GPS, AMOLED Display",36,19941,3.2
51,Xiaomi Smartwatch Model 51,"Heart Rate, LCD Display",19,140068,4.1
52,Sony Mobile Model 52,"50MP Camera, 4000mAh Battery, 5G",39,108441,4.2
53,Sony Laptop Model 53,"Ryzen 7, 8GB RAM, 256GB SSD",7,10055,4.4
54,Samsung Mobile Model 54,"64MP Camera, 6000mAh Battery, 5G",31,48978,4.3
55,Xiaomi Mobile Model 55,"64MP Camera, 6000mAh Battery, 5G",40,100143,3.1
56,OnePlus Smartwatch Model 56,"GPS, AMOLED Display",38,95997,3.8
57,Acer Mobile Model 57,"50MP Camera, 6000mAh Battery, 5G",49,110535,4.0
58,Apple Laptop Model 58,"i5, 16GB RAM, 512GB SSD",27,43935,3.1
59,Sony Mobile Model 59,"50MP Camera, 4000mAh Battery, 5G",27,94167,3.6
60,Xiaomi Laptop Model 60,"i5, 16GB RAM, 512GB SSD",48,116385,4.9
61,Dell Laptop Model 61,"i5, 16GB RAM, 256GB SSD",20,10111,4.3
62,Xiaomi Laptop Model 62,"Ryzen 7, 8GB RAM, 512GB SSD",36,83740,4.8
63,Acer Mobile Model 63,"64MP Camera, 5000mAh Battery, 5G",29,113085,4.4
64,Asus Laptop Model 64,"i7, 8GB RAM, 512GB SSD",50,89128,4.1
65,HP Laptop Model 65,"Ryzen 5, 32GB RAM, 256GB SSD",40,118135,3.4
66,HP Smartwatch Model 66,"GPS, AMOLED Display",6,114299,4.6
67,Xiaomi Smartwatch Model 67,"GPS, AMOLED Display",36,44400,3.3
68,Samsung Smartwatch Model 68,"Heart Rate, LCD Display",19,105534,3.4
69,Acer Smartwatch Model 69,"GPS, AMOLED Display",33,67133,3.2
70,Xiaomi Smartwatch Model 70,"SpO2, AMOLED Display",12,41836,4.9
71,Lenovo Mobile Model 71,"108MP Camera, 6000mAh Battery, 5G",15,19439,4.1
72,Xiaomi Laptop Model 72,"Ryzen 7, 16GB RAM, 1TB SSD",23,66087,3.1
73,Asus Laptop Model 73,"i5, 8GB RAM, 256GB SSD",13,25997,4.8
74,Acer Laptop Model 74,"Ryzen 7, 8GB RAM, 512GB SSD",46,73190,3.2
75,Asus Mobile Model 75,"108MP Camera, 5000mAh Battery, 5G",6,83389,3.4
76,Apple Smartwatch Model 76,"SpO2, LCD Display",15,59026,4.4
77,Sony Mobile Model 77,"108MP Camera, 4000mAh Battery, 5G",24,87129,3.5
78,Sony Smartwatch Model 78,"GPS, LCD Display",30,138139,3.4
79,Apple Smartwatch Model 79,"Heart Rate, AMOLED Display",47,46023,3.7
80,Acer Mobile Model 80,"64MP Camera, 5000mAh Battery, 5G",19,37214,4.3
81,OnePlus Mobile Model 81,"108MP Camera, 6000mAh Battery, 5G",22,94264,3.7
82,Apple Mobile Model 82,"50MP Camera, 4000mAh Battery, 5G",31,49139,3.1
83,HP Mobile Model 83,"108MP Camera, 5000mAh Battery, 5G",27,97297,3.9
84,Samsung Smartwatch Model 84,"SpO2, LCD Display",6,119449,4.8
85,Dell Smartwatch Model 85,"Heart Rate, AMOLED Display",45,106785,4.7
86,Lenovo Laptop Model 86,"Ryzen 7, 8GB RAM, 1TB SSD",20,129810,4.1
87,Samsung Laptop Model 87,"i7, 8GB RAM, 512GB SSD",41,51485,3.3
88,Samsung Smartwatch Model 88,"SpO2, LCD Display",10,133302,4.6
89,Lenovo Mobile Model 89,"64MP Camera, 6000mAh Battery, 5G",16,129926,4.2
90,OnePlus Laptop Model 90,"i7, 32GB RAM, 1TB SSD",17,108206,4.2
